,links
0,https://futureoflife.org/open-letter/pause-giant-ai-experiments/
1,https://futureoflife.org/cause-area/artificial-intelligence/
2,https://futureoflife.org/open-letter/ai-principles/
3,https://openai.com/blog/planning-for-agi-and-beyond
4,https://futureoflife.org/ai/faqs-about-flis-open-letter-calling-for-a-pause-on-giant-ai-experiments/
5,https://arxiv.org/abs/2209.10604
6,https://arxiv.org/abs/2206.13353
7,https://arxiv.org/abs/2303.10130
8,https://arxiv.org/abs/2206.05862
9,https://arxiv.org/abs/2209.00626
10,https://arxiv.org/abs/2112.04359
11,https://abcnews.go.com/Technology/openai-ceo-sam-altman-ai-reshape-society-acknowledges/story?id=97897122
12,https://time.com/6246119/demis-hassabis-deepmind-interview/
13,https://arxiv.org/abs/2303.12712
14,"https://www.bbc.com/worklife/article/20230418-ai-anxiety-artificial-intelligence-replace-jobs#:~:text=In%20March%2C%20Goldman%20Sachs%20published,by%20technology%20in%20three%20years."
15,https://www.pwc.com/gx/en/issues/workforce/hopes-and-fears-2022.html
16,https://www.technologyreview.com/2023/02/08/1068068/chatgpt-is-everywhere-heres-where-it-came-from/
17,https://journals.sagepub.com/doi/full/10.1177/23780231221131377
18,https://news.byu.edu/intellect/robots-are-taking-over-jobs-but-not-at-the-rate-you-might-think-says-byu-research
19,https://www.bbc.com/worklife/work-in-progress
20,https://mitsloan.mit.edu/ideas-made-to-matter/report-finds-employees-embrace-ai-when-they-see-its-value
21,https://mitsloan.mit.edu/ideas-made-to-matter/delta-model-how-arnoldo-hax-reprioritized-corporate-strategy
22,https://mitsloan.mit.edu/ideas-made-to-matter/its-time-to-rechart-course-technology-here-are-4-ways-to-start
23,https://mitsloan.mit.edu/ideas-made-to-matter/sec-commissioner-hester-peirce-not-a-fan-interventionist-approaches
24,https://mitsloan.mit.edu/ideas-made-to-matter/topics/artificial-intelligence
25,https://mitsloan.mit.edu/ideas-made-to-matter/sara-brown
26,https://mitsloan.mit.edu/ideas-made-to-matter/new-book-explores-how-ai-really-changes-way-we-work
27,https://mitsloan.mit.edu/ideas-made-to-matter/3-requirements-successful-artificial-intelligence-programs
28,https://mitsloan.mit.edu/ideas-made-to-matter/mit-sloan-research-artificial-intelligence-and-machine-learning
29,https://mitsloan.mit.edu/ideas-made-to-matter/job-seekers-ai-boosted-resumes-more-likely-to-be-hired
30,https://mitsloan.mit.edu/ideas-made-to-matter/new-podcast-explores-whether-data-can-solve-big-problems
31,https://www.bbvaopenmind.com/en/articles/artificial-intelligence-in-workplace-what-is-at-stake-for-workers/
32,https://www2.deloitte.com/insights/us/en/focus/human-capital-trends/2017/people-analytics-in-hr.html
33,https://osha.europa.eu/en/tools-and-publications/publications/foresight-new-and-emerging-occupational-safety-and-health-risks/view
34,https://www.businessinsider.in/i-tried-the-software-that-uses-ai-to-scan-job-applicants-for-companies-like-goldman-sachs-and-unilever-before-meeting-them-and-its-not-as-creepy-as-it-sounds/articleshow/60196231.cms
35,https://osha.europa.eu/en/tools-and-publications/publications/future-work-crowdsourcing/view
36,https://newsroom.ibm.com/2018-11-28-IBM-Talent-Business-Uses-AI-To-Rethink-The-Modern-Workforce
37,https://osha.europa.eu/en/tools-and-publications/seminars/focal-points-seminar-review-articles-future-work
38,https://www.pwc.com/gx/en/issues/data-and-analytics/publications/artificial-intelligence-study.html
39,https://www.bbvaopenmind.com/en/articles/the-impact-of-the-gig-economy/
40,https://www.bbvaopenmind.com/en/articles/advanced-tech-but-growth-slow-and-unequal-paradoxes-and-policies/
41,https://www.bbvaopenmind.com/en/books/work-in-the-age-of-data/
42,https://www.bbvaopenmind.com/en/articles/on-the-effects-of-artificial-intelligence-on-growth-and-employment/
43,https://www.bbvaopenmind.com/en/articles/measuring-productivity-in-the-context-of-technological-change/
44,https://www.bbvaopenmind.com/en/articles/inequality-in-the-digital-era/
45,https://www.bbvaopenmind.com/en/articles/intangible-capital-productivity-and-labor-markets/
46,https://www.bbvaopenmind.com/en/articles/causes-and-consequences-of-job-polarization-and-their-future-perspectives/
47,https://www.bbvaopenmind.com/en/articles/increasing-importance-of-working-consumers-impact-on-paid-workers/
48,https://www.bbvaopenmind.com/en/articles/hard-realities-of-entrepreneurship-in-global-economy/
49,https://www.bbvaopenmind.com/en/articles/a-new-social-contract-for-the-digital-age/
50,https://www.bbvaopenmind.com/en/articles/public-policies-in-the-age-of-digital-disruption/
51,https://www.bbvaopenmind.com/en/articles/institutions-policies-and-technologies-for-the-future-of-work/
52,https://www.bbvaopenmind.com/en/articles/the-digital-economy-and-learning/
53,https://www.bbvaopenmind.com/en/articles/the-power-of-everyone-why-work-revolution-demands-a-fresh-focus-on-inclusion/
54,https://www.bbvaopenmind.com/en/articles/ethical-leadership-in-a-new-age-of-work/
55,https://www.bbvaopenmind.com/en/articles/artificial-intelligence-and-the-future-of-work-chinese-perspective/
56,https://www.weforum.org/agenda/2022/01/artificial-intelligence-ai-technology-trust-survey/
57,https://www.weforum.org/topics/artificial-intelligence-and-robotics
58,https://www.weforum.org/agenda/authors/joe-myers-e357a678-184f-4be2-9895-dad15a2435b3
59,https://www.weforum.org/impact/ai-for-agriculture-in-india/
60,https://www.weforum.org/agenda/2021/12/ai-mental-health-cbt-therapy
61,https://www.weforum.org/agenda/2021/12/how-to-keep-human-in-human-resources-with-ai-based-tools
62,https://www.weforum.org/agenda/archive/emerging-technology
63,https://www.weforum.org/topics/emerging-technologies
64,https://www.weforum.org/agenda/2023/05/jobs-ai-cant-replace/
65,https://www.weforum.org/agenda/2023/05/emerging-technologies-human-crises-artificial-intelligence/
66,https://www.weforum.org/agenda/2023/05/workplace-technology-jobs-impact/
67,https://www.weforum.org/agenda/2023/05/unintentional-biased-ai-algorithm-years-ago/
68,https://www.weforum.org/agenda/2023/05/how-will-generative-ai-impact-healthcare/
69,https://www.weforum.org/agenda/2023/05/ai-work-creative/
70,https://ai100.stanford.edu/2021-report/standing-questions-and-responses/sq1-what-are-some-examples-pictures-reflect-important
71,https://ai100.stanford.edu/2021-report/standing-questions-and-responses/sq2-what-are-most-important-advances-ai
72,https://ai100.stanford.edu/2021-report/standing-questions-and-section-summaries/sq2-what-are-most-important-advances-ai
73,https://ai100.stanford.edu/2021-report/standing-questions-and-responses/sq3-what-are-most-inspiring-open-grand-challenge
74,https://ai100.stanford.edu/2021-report/standing-questions-and-section-summaries/sq3-what-are-most-inspiring-open-grand
75,https://ai100.stanford.edu/2021-report/standing-questions-and-responses/sq4-how-much-have-we-progressed-understanding-key
76,https://ai100.stanford.edu/2021-report/standing-questions-and-section-summaries/sq4-how-much-have-we-progressed-understanding
77,https://ai100.stanford.edu/2021-report/standing-questions-and-responses/sq5-what-are-prospects-more-general-artificial
78,https://ai100.stanford.edu/2021-report/standing-questions-and-section-summaries/sq5-what-are-prospects-more-general-artificial
79,https://ai100.stanford.edu/2021-report/standing-questions-and-responses/sq6-how-has-public-sentiment-towards-ai-evolved-and
80,https://ai100.stanford.edu/2021-report/standing-questions-and-section-summaries/sq6-how-has-public-sentiment-towards-ai
81,https://ai100.stanford.edu/2021-report/standing-questions-and-responses/sq7-how-should-governments-act-ensure-ai-developed-and
82,https://ai100.stanford.edu/2021-report/standing-questions-and-section-summaries/sq7-how-should-governments-act-ensure-ai
83,https://ai100.stanford.edu/2021-report/standing-questions-and-responses/sq8-what-should-roles-academia-and-industry-be
84,https://ai100.stanford.edu/2021-report/standing-questions-and-section-summaries/sq8-what-should-roles-academia-and-industry-be
85,https://ai100.stanford.edu/2021-report/standing-questions-and-responses/sq9-what-are-most-promising-opportunities-ai
86,https://ai100.stanford.edu/2021-report/standing-questions-and-section-summaries/sq9-what-are-most-promising-opportunities-ai
87,https://ai100.stanford.edu/2021-report/standing-questions-and-responses/sq10-what-are-most-pressing-dangers-ai
88,https://ai100.stanford.edu/2021-report/standing-questions-and-section-summaries/sq10-what-are-most-pressing-dangers-ai
89,https://ai100.stanford.edu/2021-report/standing-questions-and-responses/sq11-how-has-ai-impacted-socioeconomic-relationships
90,https://ai100.stanford.edu/2021-report/standing-questions-and-section-summaries/sq11-how-has-ai-impacted-socioeconomic
91,https://ai100.stanford.edu/2021-report/standing-questions-and-responses/sq12-does-it-appear-building-how-we-think-works
92,https://ai100.stanford.edu/2021-report/standing-questions-and-section-summaries/sq12-does-it-appear-building-how-we-think
93,https://www.theguardian.com/global-development/2023/may/12/why-would-we-employ-people-experts-on-five-ways-ai-will-change-work
94,https://www.theguardian.com/global-development/2023/mar/30/the-future-of-work-a-guardian-series
95,https://www.theguardian.com/technology/2023/feb/18/the-ai-industrial-revolution-puts-middle-class-workers-under-threat-this-time
96,https://www.theguardian.com/technology/2023/may/09/techscape-artificial-intelligence-risk
97,https://www.bbntimes.com/technology/crossing-the-threshold-into-the-ai-renaissance
98,https://www.bbntimes.com/technology/preparing-for-a-future-dominated-by-artificial-intelligence
99,https://www.bbntimes.com/environment/how-ai-is-revolutionizing-smart-waste-management
100,https://www.bbntimes.com/financial/gpt-4-will-revolutionise-the-financial-services-industry
101,https://www.bbntimes.com/politics/is-it-time-for-a-secretary-of-technology
102,https://www.bbntimes.com/science/postmodernism-and-the-hyperreality-of-gpt
103,https://www.bbntimes.com/society/gpt-and-the-quest-for-the-ghost-in-the-machine
104,https://futurism.com/the-byte/fear-ai-anxiety
105,https://www.beekeeper.io/blog/3-reasons-you-want-ai-in-the-workplace/
106,https://www.farrer.co.uk/news-and-insights/blogs/artificial-intelligence-in-the-workplace-helpful-or-harmful/
107,https://fortune.com/2023/03/13/artificial-intelligence-make-workplace-decisions-human-intelligence-remains-vital-careers-tech-gary-friedman/
108,https://www.mckinsey.com/featured-insights/future-of-work/ai-automation-and-the-future-of-work-ten-things-to-solve-for
109,https://www.bbntimes.com/technology/advantages-disadvantages-of-ai-in-the-workplace
110,https://en.wikipedia.org/wiki/Workplace_impact_of_artificial_intelligence
111,https://www.akerman.com/en/perspectives/hr-def-how-to-be-smart-about-using-artificial-intelligence-in-the-workplace.html
112,https://planergy.com/blog/how-ai-is-transforming-the-workplace/
